Group,Variable name,Range,Type,Min,Max,Form,Short descriptor,AllowableCodes
Psychia,DELSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Delusions severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no delusions reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,HALLSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Hallucinations severity," 1 = Mild (noticeable, but not a significant 
	change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no hallucinations reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,AGITSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Agitation or aggression severity," 1 = Mild (noticeable, but not a significant 
	change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no agitation or aggression reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,DEPDSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Depression or dysphoria severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no depression or dysphoria reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,ANXSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Anxiety severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no anxiety reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,ELATSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Elation or euphoria severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no elation or euphoria reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,APASEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Apathy or indifference severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no apathy or indifference reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,DISNSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Disinhibition severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no disinhibition reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,IRRSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Irritability or lability severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no irritability or lability reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
Psychia,MOTSEV,"[0, 1, 2, 3]",category (int),0.0,3.0,b5,Motor disturbance severity," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no motor disturbance reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
