Group,Variable name,Range,Type,Min,Max,Form,Short descriptor,AllowableCodes
MRIValue,NACCICV,964.634~1873.540,continuous (float),964.634,1873.54,imaging,Total intracranial volume (cc),
MRIValue,NACCBRNV,659.178~1429.340,continuous (float),659.178,1429.34,imaging,Total brain volume (cc),
MRIValue,NACCWMVL,269.770~816.860,continuous (float),269.77,816.86,imaging,Total white matter volume (cc),
MRIValue,CSFVOL,174.590~623.658,continuous (float),174.59,623.658,imaging,Total brain cerebrospinal fluid volume (cc),
MRIValue,GRAYVOL,330.807~824.030,continuous (float),330.807,824.03,imaging,Total brain gray matter volume (cc),
MRIValue,WHITEVOL,248.950~693.520,continuous (float),248.95,693.52,imaging,Total brain white matter volume (cc),
MRIValue,WMHVOL,0.000~210.100,continuous (float),0.0,210.1,imaging,Total brain white matter hyperintensity volume (cc),
MRIValue,HIPPOVOL,0.958~7.995,continuous (float),0.9577,7.9945,imaging,Segmented total hippocampi volume (cc),
MRIValue,CEREALL,822.075~1639.250,continuous (float),822.075,1639.25,imaging,Total cerebrum cranial volume (cc),
MRIValue,CERETISS,605.504~1266.500,continuous (float),605.504,1266.5,imaging,Total cerebrum brain volume (cc),
MRIValue,CERECSF,134.364~533.409,continuous (float),134.364,533.409,imaging,Total cerebrum cerebrospinal fluid volume (cc),
MRIValue,CEREGR,288.183~699.550,continuous (float),288.183,699.55,imaging,Total cerebrum gray matter volume (cc),
MRIValue,CEREWH,223.810~634.397,continuous (float),223.81,634.397,imaging,Total cerebrum white matter volume (cc),
MRIValue,LHIPPO,0.581~4.833,continuous (float),0.5811,4.8327,imaging,Segmented left hippocampus volume (cc),
MRIValue,RHIPPO,0.377~4.864,continuous (float),0.3765,4.8639,imaging,Segmented right hippocampus volume (cc),
MRIValue,LLATVENT,2.108~102.520,continuous (float),2.1084,102.52,imaging,Segmented left lateral ventricle volume (cc),
MRIValue,RLATVENT,2.101~134.825,continuous (float),2.1012,134.825,imaging,Segmented right lateral ventricle volume (cc),
MRIValue,LATVENT,4.210~214.111,continuous (float),4.2096,214.111,imaging,Segmented total lateral ventricle volume (cc),
MRIValue,THIRVENT,0.222~4.100,continuous (float),0.2217,4.1,imaging,Segmented total third ventricle volume (cc),
MRIValue,LFRCORT,5.734~128.380,continuous (float),5.7343,128.38,imaging,Segmented left frontal lobe cortical gray matter volume (cc),
MRIValue,RFRCORT,18.003~127.430,continuous (float),18.0035,127.43,imaging,Segmented right frontal lobe cortical gray matter volume (cc),
MRIValue,FRCORT,24.253~256.660,continuous (float),24.2525,256.66,imaging,Segmented total frontal lobe cortical gray matter volume (cc),
MRIValue,LOCCORT,14.593~47.106,continuous (float),14.5931,47.1058,imaging,Segmented left occipital lobe cortical gray matter volume (cc),
MRIValue,ROCCORT,14.599~49.190,continuous (float),14.599,49.19,imaging,Segmented right occipital lobe cortical gray matter volume (cc),
MRIValue,OCCCORT,29.582~87.900,continuous (float),29.5819,87.9,imaging,Segmented total occipital lobe cortical gray matter volume (cc),
MRIValue,LPARCORT,3.509~71.940,continuous (float),3.5093,71.94,imaging,Segmented left parietal lobe cortical gray matter volume (cc),
MRIValue,RPARCORT,12.744~71.788,continuous (float),12.7437,71.7878,imaging,Segmented right parietal lobe cortical gray matter volume (cc),
MRIValue,PARCORT,17.675~141.050,continuous (float),17.6746,141.05,imaging,Segmented total parietal lobe cortical gray matter volume (cc),
MRIValue,LTEMPCOR,19.430~85.430,continuous (float),19.4302,85.43,imaging,Segmented left temporal lobe cortical gray matter volume (cc),
MRIValue,RTEMPCOR,18.913~85.570,continuous (float),18.9126,85.57,imaging,Segmented right temporal lobe cortical gray matter volume (cc),
MRIValue,TEMPCOR,38.351~171.550,continuous (float),38.3506,171.55,imaging,Segmented total temporal lobe cortical gray matter volume (cc),
MRIValue,LCAC,1.410~6.940,continuous (float),1.41,6.94,imaging,Left caudal anterior cingulate gray matter volume (cc),
MRIValue,LCACM,0.512~4.090,continuous (float),0.5122,4.09,imaging,Left caudal anterior cingulate mean cortical thickness (mm),
MRIValue,LCMF,1.444~8.574,continuous (float),1.4445,8.574,imaging,Left caudal middle frontal gray matter volume (cc),
MRIValue,LCMFM,0.550~4.304,continuous (float),0.5498,4.3038,imaging,Left caudal middle frontal mean cortical thickness (mm),
MRIValue,LCUN,1.620~8.330,continuous (float),1.62,8.33,imaging,Left cuneus gray matter volume (cc),
MRIValue,LCUNM,0.502~3.301,continuous (float),0.5018,3.3008,imaging,Left cuneus mean cortical thickness (mm),
MRIValue,LENT,0.774~6.695,continuous (float),0.7741,6.695,imaging,Left entorhinal gray matter volume (cc) ,
MRIValue,LENTM,0.665~6.441,continuous (float),0.6654,6.4408,imaging,Left entorhinal mean cortical thickness (mm),
MRIValue,LFUS,3.024~17.585,continuous (float),3.0238,17.585,imaging,Left fusiform gray matter volume (cc),
MRIValue,LFUSM,1.069~4.943,continuous (float),1.0692,4.9434,imaging,Left fusiform mean cortical thickness (mm),
MRIValue,LINFPAR,4.693~19.219,continuous (float),4.6934,19.2189,imaging,Left inferior parietal gray matter volume (cc),
MRIValue,LINFPARM,0.850~4.743,continuous (float),0.8498,4.7427,imaging,Left inferior parietal mean cortical thickness (mm),
MRIValue,LINFTEMP,3.613~15.460,continuous (float),3.6134,15.46,imaging,Left inferior temporal gray matter volume (cc),
MRIValue,LINFTEMM,0.631~5.396,continuous (float),0.6314,5.3961,imaging,Left inferior temporal mean cortical thickness (mm),
MRIValue,LINSULA,2.655~9.270,continuous (float),2.6547,9.27,imaging,Left insula gray matter volume (cc),
MRIValue,LINSULAM,1.260~4.740,continuous (float),1.2604,4.74,imaging,Left insula mean cortical thickness (mm),
MRIValue,LISTHC,1.043~5.106,continuous (float),1.0432,5.106,imaging,Left isthmus cingulate gray matter volume (cc),
MRIValue,LISTHCM,0.841~3.540,continuous (float),0.8405,3.54,imaging,Left isthmus cingulate mean cortical thickness (mm),
MRIValue,LLATOCC,4.386~18.540,continuous (float),4.3856,18.54,imaging,Left lateral occipital gray matter volume (cc),
MRIValue,LLATOCCM,0.651~4.192,continuous (float),0.6508,4.1922,imaging,Left lateral occipital mean cortical thickness (mm),
MRIValue,LLATORBF,1.779~11.940,continuous (float),1.7793,11.94,imaging,Left lateral orbitofrontal gray matter volume (cc),
MRIValue,LLATORBM,1.021~3.970,continuous (float),1.0207,3.97,imaging,Left lateral orbitofrontal mean cortical thickness (mm),
MRIValue,LLING,3.192~11.940,continuous (float),3.1925,11.94,imaging,Left lingual gray matter volume (cc),
MRIValue,LLINGM,0.636~4.524,continuous (float),0.6359,4.5243,imaging,Left lingual mean cortical thickness (mm),
MRIValue,LMEDORBF,1.828~7.070,continuous (float),1.8278,7.07,imaging,Left medial orbitofrontal gray matter volume (cc),
MRIValue,LMEDORBM,0.684~4.271,continuous (float),0.6842,4.2715,imaging,Left medial orbitofrontal mean cortical thickness (mm),
MRIValue,LMIDTEMP,5.374~20.270,continuous (float),5.3736,20.27,imaging,Left middle temporal gray matter volume (cc),
MRIValue,LMIDTEMM,0.620~4.737,continuous (float),0.62,4.7372,imaging,Left middle temporal mean cortical thickness (mm),
MRIValue,LPARCEN,1.362~7.690,continuous (float),1.362,7.69,imaging,Left paracentral gray matter volume (cc),
MRIValue,LPARCENM,0.397~3.431,continuous (float),0.3974,3.4309,imaging,Left paracentral mean cortical thickness (mm),
MRIValue,LPARHIP,0.773~6.270,continuous (float),0.7731,6.27,imaging,Left parahippocampal gray matter volume (cc),
MRIValue,LPARHIPM,0.771~3.253,continuous (float),0.7712,3.2529,imaging,Left parahippocampal mean cortical thickness (mm),
MRIValue,LPARSOP,1.629~7.636,continuous (float),1.629,7.6365,imaging,Left pars opercularis gray matter volume (cc),
MRIValue,LPARSOPM,0.491~3.330,continuous (float),0.4909,3.33,imaging,Left pars opercularis mean cortical thickness (mm),
MRIValue,LPARORB,0.408~4.149,continuous (float),0.4082,4.149,imaging,Left pars orbitalis gray matter volume (cc),
MRIValue,LPARORBM,0.771~4.070,continuous (float),0.7714,4.07,imaging,Left pars orbitalis mean cortical thickness (mm),
MRIValue,LPARTRI,1.433~8.117,continuous (float),1.4325,8.1168,imaging,Left pars triangularis gray matter volume (cc),
MRIValue,LPARTRIM,0.769~3.488,continuous (float),0.7692,3.488,imaging,Left pars triangularis mean cortical thickness (mm),
MRIValue,LPERCAL,0.711~5.704,continuous (float),0.711,5.704,imaging,Left pericalcarine gray matter volume (cc),
MRIValue,LPERCALM,0.340~4.449,continuous (float),0.3396,4.449,imaging,Left pericalcarine mean cortical thickness (mm),
